car_model,price,year_model,kms
Kia Rio 1.4 Vibrant,$65.900.000,2023,37.600
Kia Rio 1.4 4 p,$46.500.000,2014,73.435
Kia Rio 1.4 ZENITH,$61.500.000,2019,44.000
Kia Rio Ex 1 4 Tp 1.4 4p 2ab 2015,$40.990.000,2015,110.540
Kia Rio 1.4 Vibrant At,$58.600.000,2019,54.105
Kia Rio FE 1.4 AUT,$54.500.000,2018,61.187
Kia Rio SC VIBRANT 1.4 AUT 5P,$69.800.000,2023,16.850
Kia Rio 1.4 Zenith Hb 5 p,$77.000.000,2023,3.150
Kia Rio 1.4 Vibrant Hb 4 p,$67.900.000,2023,28.512
Kia Rio Ub Ex-1.4 Mec Hb Modelo 2017 45677,$47.300.000,2017,104.632
Kia Rio 1.4 Vibrant Mt,$74.900.000,2023,13.690
Kia Rio R 1.4 Modelo 2017 Id 45918,$50.900.000,2017,74.030
Kia Rio Vibrant At 1.4,$64.900.000,2023,23.000
Kia Rio 1.4 Vibrant,$54.000.000,2019,50.000
Kia Rio 1.4 Zenith,$58.000.000,2018,77.800
Kia Rio Vibrant,$75.490.000,2024,0
Kia Rio 1.4 Zenith Automatico,$73.900.000,2022,31.212
Kia Rio Emotion AT 1.4 2020,$58.900.000,2020,52.000
Kia Rio 1.4,$65.900.000,2022,20.600
Kia Rio 1.4 Vibrant At,$64.990.000,2022,21.100
Kia Rio 1.4 Vibrant At,$66.900.000,2022,39.000
Kia Rio 1.4 Vibrant Mt,$51.990.000,2018,83.400
Kia Rio 1.4 Vibrant Hb 4 p,$68.990.000,2023,31.970
Kia Rio 1.4,$74.900.000,2023,9.850
Kia Rio Vibrant,$74.990.000,2024,0
Kia Rio 1.4 Emotion Hb,$52.500.000,2019,125.600
Kia Rio Spice 1.4,$41.500.000,2015,59.900
Kia Riospice 46304,$36.990.000,2014,118.631
Kia Rio 1.4 Vibrant Hb 5 p,$73.000.000,2023,21.900
Kia Rio 1.4,$51.800.000,2018,19.000
Kia Rio Sedán 1400cc Mec.,$52.800.000,2018,19.000
Kia Rio 1.4 Zenith Hb 5 p,$65.000.000,2021,47.000
Kia Rio VIBRANT,$59.000.000,2018,68.000
Kia Rio 1.4 Vibrant Hb,$49.000.000,2021,22.000
Kia Rio 1.4 Zenith Hb 5 p,$43.000.000,2019,53.000
Kia Rio 1.2 4 p,$44.500.000,2017,60.000
Kia Rio 1.4 Vibrant Hb 4 p,$70.900.000,2022,17.000
